Team,Year,Record
atlanta_hawks,2017,"[True, False, False, False, False, False, False, False, False, True, False, False, False, False, True, False, False, False, True, False, False, True, False, False, True, False, False, False, False, True, False, False, True, True, False, True, False, False, False, False, True, False, True, True, False, True, False, False, False, True, False, False, True, True, False, False, True, False, False, False, False, True, False, True, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, True, True, False]"
atlanta_hawks,2016,"[True, True, True, False, False, True, True, True, True, True, True, False, False, False, True, False, False, False, False, False, False, False, True, True, False, True, False, True, False, True, False, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, False, True, False, True, True, False, True, False, True, False, False, False, True, True, False, False, False, True, True, True, False, False, False, False, False, False, False, True, True, False, False, True, True, True, True, False]"
atlanta_hawks,2015,"[False, True, True, True, True, True, True, True, False, True, False, False, False, True, False, True, False, True, False, True, False, True, True, False, False, False, True, True, True, True, True, True, False, True, False, False, True, True, False, False, True, True, True, False, False, True, False, False, False, True, True, True, False, False, True, False, False, False, True, True, False, True, True, True, False, True, True, True, True, True, False, True, True, True, True, False, False, True, True, True, False, False]"
atlanta_hawks,2014,"[False, True, False, False, True, True, True, True, False, False, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, False, False, True, True, True, True, True, True, False, True, False, True, True, True, False, False, False, True, True, False, True, False, True, True, True, True, False, False, False]"
atlanta_hawks,2013,"[False, True, False, True, False, True, True, False, True, True, False, True, True, False, False, False, True, False, False, True, True, False, True, False, True, True, True, False, True, True, False, True, False, False, False, True, True, False, False, True, True, False, True, False, True, True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, True, True, True, True, False, False, False, False, False, False, True, False, True, True, False, True, True, True, False, True]"
atlanta_hawks,2012,"[False, True, True, False, False, True, False, True, True, True, True, True, True, False, True, True, True, False, True, True, False, True, False, False, True, True, True, True, False, True, False, False, False, False, True, False, False, True, False, False, True, True, True, False, True, False, False, True, False, True, True, False, True, True, True, True, False, False, False, True, False, False, False, True, True, True, False, True, False, True, False, True, False, True, True, False, False, False, True, True, False, False]"
atlanta_hawks,2011,"[True, True, True, False, True, False, False, True, True, True, False, True, True, True, True, False, True, True, False, True, True, True, False, False, False, True, True, False, False, True, False, False, False, True, False, True, True, True, False, False, True, False, False, True, True, False, True, True, True, True, False, False, True, False, True, True, True, False, True, False, True, True, True, False, True, True]"
atlanta_hawks,2010,"[True, True, True, True, True, True, False, False, False, False, True, True, False, False, False, True, True, True, True, True, False, True, True, False, True, False, False, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, False, True, False, True, True, True, False, False, True, False, False, False, True, True, False, True, False, False, False, False, True, True, False, False, True, False, False, True, True, True, True, False, False, False, False, False, False]"
atlanta_hawks,2009,"[True, True, False, True, True, False, True, True, True, True, True, True, True, False, False, True, False, True, False, True, True, True, True, True, True, False, True, False, True, False, False, False, False, True, True, False, True, True, True, False, True, True, True, False, True, False, False, True, True, True, False, True, False, False, True, True, False, True, True, True, True, False, False, True, True, True, False, True, True, False, True, False, True, True, False, True, False, False, True, True, True, True]"
atlanta_hawks,2008,"[True, True, True, True, True, True, False, False, False, False, True, True, False, True, False, True, True, True, False, False, False, True, True, True, False, True, True, True, True, True, True, False, True, False, False, False, False, True, False, True, True, True, False, False, False, True, False, True, True, False, True, True, False, True, False, False, False, True, False, True, False, False, True, True, True, True, True, True, True, False, True, False, False, True, False, False, False, True, True, True, True, False]"
atlanta_hawks,2007,"[True, False, False, True, False, False, True, False, False, False, True, True, False, True, False, True, False, True, True, True, False, False, True, True, True, True, True, False, False, False, False, True, False, True, True, False, False, False, False, True, False, False, False, True, True, True, False, False, False, False, False, False, True, False, False, True, True, False, False, False, False, True, False, False, True, True, True, False, True, False, True, True, True, True, True, False, True, False, True, False, False, False]"
atlanta_hawks,2006,"[False, True, True, True, True, False, False, False, False, True, False, False, True, False, True, False, True, False, False, False, False, True, False, False, False, False, False, False, False, False, True, False, False, True, True, True, False, False, False, True, True, False, True, True, False, True, False, False, True, True, False, True, False, False, True, False, False, False, False, False, False, True, True, True, True, False, False, True, False, False, False, False, False, False, False, True, False, True, False, False, False, True]"
atlanta_hawks,2005,"[False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, True, True, False, True, True, False, True, False, False, False, False, True, True, False, False, False, False, True, False, False, True, False, False, False, True, True, True, False, True, False, False, True, False, False, True, False, True, True, False, False, True, False, False, False, False, True, False, False, False, False, False, True, False, False, False, True, True, False, False, False, False, True, True, False]"
atlanta_hawks,2004,"[False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False, True, False, False, False, False, False, False, True, False, True, False, False, False, True, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, False]"
atlanta_hawks,2003,"[False, False, False, True, False, False, True, False, True, False, False, True, False, True, False, False, True, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, True, False, True, False, False, False, True, False, True, False, True, False, True, False, False, True, False, True, True, False, True, False, False, False, True, False, False, True, False, False, False, False, True, False, False, True, False, False, False, True, True, False, False, True, False, False, True, True, True, False]"
atlanta_hawks,2002,"[False, True, True, True, False, False, False, True, True, True, False, False, False, True, False, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False, False, False, False, False, True, True, False, False, False, False, False, False, True, True, False, True, True, True, False, False, False, False, True, False, True, False, False, False, True, False, True, True, False, True, True, True, False, False, False, True, True, False, False, False, True, True, False, True, True, True, True, False]"
atlanta_hawks,2001,"[False, False, True, False, False, False, False, True, False, True, False, True, True, False, False, False, True, False, False, False, True, True, True, False, False, False, True, False, True, False, True, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, True, True, False, True, True, True, False, False, False, True, False, True, True, False, False, True, True, True, False, True, True, True, False, True, False, False, False, True, True, False, False, True, False, True, False, False]"
atlanta_hawks,2000,"[False, False, False, False, False, False, False, True, False, False, False, True, False, False, True, False, True, False, False, False, True, False, True, False, True, True, True, True, False, False, True, False, True, False, True, True, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, True, True, False, False, True, False, False, False, False, True, True, False, False, False, True, False, False, False, True]"
atlanta_hawks,1999,"[False, False, True, False, False, False, False, True, True, False, True, False, False, True, True, True, True, True, False, False, True, False, False, False, False, True, False, False, False, False, False, True, False, True, False, False, False, False, True, True, True, False, True, False, True, False, True, True, False, False, True, True, False, False, False, True, False, False, False, False, True, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, True, True, False]"
atlanta_hawks,1998,"[True, True, False, True, True, False, True, False, True, False, False, True, True, False, False, False, True, False, True, True, True, True, False, True, False, True, True, True, True, True, False, False, True, True, True, False, False, False, False, True, True, True, True, True, True, True, False, True, False, True]"
atlanta_hawks,1997,"[True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, False, False, False, True, True, True, True, False, False, False, False, False, False, False, True, True, True, True, True, True, False, True, False, False, False, False, False, True, True, False, False, True, True, False, False, False, True, True, True, False, True, True, True, True, False, True, True, True, False, False, True, False, True, False, True, True, False, True, False, True, True, True, False, True, True]"
atlanta_hawks,1996,"[False, False, True, True, True, False, True, False, True, False, False, True, True, True, False, True, True, False, True, True, True, True, True, False, False, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, False, True, False, True, False, True, False, True, True, False, True, True, True, False, True, True, True, True, True, False, False, False, True, True, True, True, True, True, True, False, True, False, True, True, True, True, False, True, False]"
atlanta_hawks,1995,"[False, True, False, True, True, True, True, False, True, False, False, True, True, True, False, False, False, False, False, True, False, False, True, True, False, True, False, False, False, True, False, True, True, True, True, True, True, True, True, True, True, False, False, False, True, False, True, False, True, True, False, False, True, True, True, True, False, False, True, True, False, True, False, False, True, True, True, True, False, False, True, True, False, True, False, False, True, True, False, False, True, True]"
atlanta_hawks,1994,"[False, False, False, False, True, False, True, False, False, True, True, False, False, True, True, True, False, True, False, True, False, False, False, True, False, True, False, True, False, False, False, True, True, True, False, True, False, False, True, True, False, False, True, True, False, False, True, True, True, True, False, False, True, True, True, False, True, False, True, True, True, False, False, True, True, False, False, False, True, True, False, False, True, True, False, True, True, False, True, True, True, False]"
atlanta_hawks,1993,"[True, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, True, True, True, True, True, True, True, False, True, False, False, True, True, True, True, False, True, True, True, False, True, False, True, False, False, True, False, True, True, True, True, True, True, False, False, True, True, False, True, True, True, True, False, True, True, True, False, False, True, False, True, True, True, True, False, True, False, True]"
atlanta_hawks,1992,"[False, True, False, True, False, False, False, True, True, True, False, True, True, False, False, True, True, True, False, False, False, True, False, False, True, False, False, False, False, True, True, True, True, False, True, False, True, False, True, False, True, True, True, False, False, True, False, True, False, False, False, True, True, False, False, False, False, True, True, True, True, True, True, False, True, True, True, True, True, True, False, False, True, False, True, False, False, False, True, True, True, False]"
atlanta_hawks,1991,"[False, True, False, True, True, True, False, True, False, True, True, False, False, False, False, True, True, True, False, True, False, False, True, False, False, False, False, True, True, True, True, True, True, False, True, False, False, True, True, False, False, True, True, False, False, False, True, False, False, True, True, False, False, True, True, True, False, False, False, False, False, False, False, True, True, False, True, False, True, True, True, False, False, False, False, True, False, True, False, True, False, False]"
atlanta_hawks,1990,"[True, True, True, False, True, False, False, False, False, False, False, False, False, False, True, True, False, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, False, False, True, True, True, True, True, False, False, False, False, False, False, True, True, False, False, True, True, False, True, True, True, False, True, True, True, False, True, False, False, True, False, True, False, False, True, False, False, False, False, True, True, True, False, True, False, False, False, True]"
atlanta_hawks,1989,"[False, False, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, False, False, True, True, False, True, False, False, True, False, True, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, True, False, True, False, False, False, False, True, True, True, True, True, False, False, True, False, False, True, True, False, False, False, True, True, False, True, True, False, False, False, True, True, True, False, True, True, True]"
atlanta_hawks,1988,"[True, True, True, False, False, True, True, False, True, False, False, False, True, True, True, True, True, True, False, False, True, True, True, False, True, True, True, True, True, False, False, True, False, False, False, True, True, True, True, False, False, True, True, False, True, False, False, True, True, True, False, True, True, True, True, False, True, False, False, False, True, False, True, False, True, False, True, False, True, True, True, False, True, True, True, True, True, True, True, True, True, False]"
atlanta_hawks,1987,"[True, True, False, True, True, False, True, False, True, False, False, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, True, False, True, False, True, True, False, True, False, False, False, False, True, True, False, True, False, False, False, True, True, True, False, False, False, True, True, False, True, True, False, True, False, False, True, True, True, True, True, True, True, False, False, False, True, False, True, False, True, False]"
atlanta_hawks,1986,"[True, True, True, True, True, False, True, True, False, True, True, True, False, True, True, True, True, False, True, True, True, True, False, False, True, True, False, True, True, False, False, True, True, False, True, False, False, False, False, True, True, False, True, False, True, True, True, False, False, True, False, False, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, False, True, True, True, True, True, True, True, True, True, False]"
atlanta_hawks,1985,"[False, False, True, False, True, False, True, False, True, True, True, False, True, False, False, True, False, False, False, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, False, True, True, False, True, True, True, False, True, False, True, False, True, True, False, True, False, True, False, False, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, False, True, False, True, False, True, False, True, False, False, True, True, True]"
atlanta_hawks,1984,"[True, False, False, False, True, False, False, True, False, False, True, True, True, False, False, True, False, False, False, True, False, True, True, False, False, False, False, True, False, True, False, True, True, False, True, False, False, True, False, True, False, False, True, False, True, True, False, False, False, True, False, True, False, True, True, False, False, False, True, False, False, False, False, False, False, True, False, False, True, False, True, False, True, False, True, False, True, False, False, True, True, True]"
